name,entreprise_demolition.id_acteur,batiment.name
people0,197,deconstruction0
people0,197,deconstruction6
people1,198,deconstruction15
people2,199,deconstruction18
people3,200,deconstruction5
people4,201,deconstruction17
people5,202,deconstruction19
people6,202,deconstruction7
people7,202,deconstruction4
people8,202,deconstruction12
people9,202,deconstruction2
people10,202,deconstruction13
people11,202,deconstruction14
people12,202,deconstruction16
people13,202,deconstruction8
people14,202,deconstruction1
people15,202,deconstruction11
people16,202,deconstruction3
people17,202,deconstruction0
people18,202,deconstruction9
people19,202,deconstruction10
